time,red,blue,total
179.997568497,0,0,0
179.997021322,4,0,4
179.994146813,4,4,8
179.994271139,8,4,12
179.255626106,8,8,16
178.77544712899999,12,8,20
178.413354647,12,12,24
177.549102819,16,12,28
177.533450326,16,16,32
176.676464857,20,16,36
176.716671033,20,20,40
175.397581443,24,20,44
175.960813323,24,24,48
173.579779408,28,24,52
174.609977039,28,28,56
171.906211798,32,28,60
173.081269427,32,32,64
170.202693097,31,26,57
157.583090749,31,30,61
168.46390874,35,30,65
152.373185125,27,20,47
146.161478085,31,20,51
149.399122805,25,19,44
143.769126325,29,19,48
146.191079541,29,23,52
141.994931803,33,23,56
143.781511659,33,27,60
140.625505944,37,27,64
141.690858036,37,31,68
137.549357413,41,31,72
137.66362657899998,41,35,76
134.82374557,45,35,80
136.000695317,45,39,84
133.982106856,38,39,77
96.16161871999999,38,43,81
132.582442677,34,40,74
48.794550446000045,34,44,78
130.313914668,16,44,60
46.14560386100007,7,46,53
129.42737745,11,46,57
43.68857352000009,11,50,61
128.558270366,10,44,54
37.31223326300008,10,48,58
127.51625200699999,14,48,62
35.5177388730001,14,41,55
119.307681564,18,41,59
33.4133491610001,18,45,63
118.30253741300001,22,45,67
27.709881577000118,20,40,60
107.48796225199999,24,40,64
25.937068631000102,20,37,57
92.15082330999996,24,37,61
22.8705334710001,24,41,65
90.02617719799997,23,35,58
13.184283553000114,17,34,51
88.18636778799998,21,34,55
9.793147683000115,21,38,59
86.76337367999997,25,38,63
7.487457217000156,24,32,56
47.13233111699998,28,32,60
4.508197802000126,28,36,64
